1000,100
21,16,31,19,53,-59,35,54,78,-68,62,54,83,13,98,-29,14,-84,-18,-80,-27,-40,93,-16,62,-61,-2,-14,73,-40,16,40,19,37,4,-90,17,61,80,-48,-86,96,-86,-54,94,-73,21,54,-71,-21,19,-33,-77,88,-37,12,-40,-17,-69,39,77,-36,-75,-65,-60,28,94,15,-50,3,28,-95,16,53,-94,-6,-89,74,-75,-69,91,-25,9,-40,52,31,-53,-9,19,43,48,64,-4,68,94,83,21,-75,74,-17
-13,-80,-73,-67,-94,1,-98,79,-2,-45,77,-31,-48,42,8,-68,-22,56,-38,42,63,18,-4,54,14,-90,60,-67,-72,-24,-96,56,56,-84,36,0,93,-55,-39,-77,95,44,6,-7,88,94,89,22,0,-63,-49,-72,-80,-43,-16,0,-99,-40,6,-63,79,68,6,-51,-39,-69,24,-69,54,-30,15,40,-25,-31,80,10,83,-87,-68,42,-70,-52,-77,-66,58,-16,55,-10,66,-92,5,-51,24,-50,-5,47,-2,21,-54,-43
59,89,-19,85,52,96,62,8,-31,-43,48,61,-48,22,18,90,85,-69,-46,-64,73,16,-20,75,-83,-14,-87,-48,3,45,-5,-54,-90,-83,-89,-97,-33,48,41,23,66,55,-86,74,-58,-73,-21,50,93,-99,-99,19,35,-27,96,-54,-88,-60,-67,43,48,-23,10,95,38,-36,24,-67,-43,40,80,88,-42,-66,98,-87,-56,-37,-50,66,-30,-92,-57,50,-58,-58,-87,66,-81,95,86,-24,17,83,-88,-29,-77,8,77,-25
4,29,-36,50,-95,88,-69,-86,-14,13,-7,32,-32,70,-16,-55,-93,13,2,4,-79,93,29,-88,-34,-8,65,-90,56,75,-43,-30,37,3,48,69,11,-73,-39,38,-27,31,25,50,36,0,-35,9,-77,48,88,19,-26,96,-43,-34,-33,-45,36,1,19,74,69,-67,13,-47,-55,82,53,-48,-51,64,7,-69,-19,-52,-76,-94,50,-27,-71,-88,30,55,74,-27,-77,14,13,-66,37,-85,27,-36,-51,-56,15,25,-29,-56
-83,-1,-49,-95,-7,42,59,96,-99,-85,74,-99,0,5,-91,77,9,-68,54,-11,-66,-93,-42,76,72,59,20,-49,-66,-75,-67,39,25,-72,-74,0,-48,88,-45,-72,0,-87,-34,-46,-22,-89,84,40,59,-40,47,-58,36,-61,4,53,-62,-3,-69,-49,-76,-98,20,-20,91,54,59,61,38,84,34,3,64,82,30,-57,38,-7,-52,-56,-12,-97,30,-99,-3,-82,-62,-67,-95,-5,97,-25,-16,8,79,58,21,71,97,84
81,-5,92,-90,88,91,-39,20,-8,-55,37,86,0,51,58,-85,51,-56,-27,-76,-47,9,47,55,86,-73,27,93,-38,-47,-15,78,80,94,-4,-92,-2,40,-53,-22,79,85,50,-79,-17,97,-44,-53,36,77,-84,78,19,87,76,-96,-54,51,39,34,93,-11,-78,-2,-42,-13,-61,89,-87,-19,33,64,93,-10,-69,-91,-11,49,-33,81,58,52,65,8,77,73,65,-47,-80,-21,76,-60,0,7,49,-20,-23,-53,52,13
33,-95,-97,18,-79,75,29,-25,27,51,-12,-7,64,31,16,21,60,-42,53,-81,64,16,85,-49,-74,-98,22,97,-4,-15,-92,-79,-59,81,-48,28,-32,30,-16,-51,-89,-34,90,-4,-14,32,-33,-34,-87,59,-35,-64,34,-78,-61,-93,-57,56,4,-92,87,75,-74,48,-5,-11,53,-1,68,94,-89,30,-37,-76,34,73,64,-81,91,85,82,-36,-35,-94,-10,49,46,61,31,-21,84,89,2,79,-53,23,34,61,-19,38
26,62,-41,-73,17,75,59,-87,50,18,-41,0,-51,65,-8,8,-4,33,17,-36,6,-68,93,29,-3,-66,-17,36,34,57,-3,66,-46,79,80,-2,-5,0,66,-33,-12,-48,76,75,68,-6,31,-57,-83,77,-19,-99,8,63,44,59,96,40,-3,-75,0,-55,-51,37,45,-83,-71,-86,16,90,-89,-49,58,-44,-95,-87,-15,38,25,-82,-17,70,-55,27,25,-45,80,-49,-53,-63,25,2,26,76,12,-14,-47,-37,-10,-5
-73,31,29,85,-56,23,84,58,-53,-49,-41,77,75,-76,-42,82,78,38,30,-34,66,40,-11,-75,57,35,-70,-26,-13,95,-36,-46,74,-59,29,42,10,61,41,14,-30,-53,-36,-7,-18,-69,63,-62,-67,-38,-2,54,17,-18,18,-4,41,-86,-7,75,-72,-29,47,34,60,86,94,29,-63,30,-83,-27,-51,-21,13,-51,-54,43,81,-28,-25,8,-81,38,-35,-76,55,86,-5,-11,46,-20,-37,-32,70,71,-27,0,-75,22
47,-79,-76,28,-30,42,34,33,13,67,-20,-29,37,60,-98,-13,-64,-48,-6,-56,89,44,32,73,-81,74,-38,-90,-35,-69,38,-94,-91,16,-99,63,96,6,78,17,-26,97,39,43,53,-74,-98,23,4,74,-5,49,53,66,16,7,-66,41,30,-46,52,25,92,44,16,89,-51,-32,59,97,45,-82,69,-73,86,-19,-27,97,-20,25,-33,68,11,29,57,0,-99,12,27,40,3,3,38,-64,39,16,30,-35,-41,41
4,20,-24,55,33,-58,-49,96,-76,3,-89,25,7,44,18,-27,31,58,-3,79,5,13,73,2,27,-62,-56,18,-43,40,52,53,45,-81,43,-80,80,78,-17,56,13,58,-40,24,-6,63,67,0,90,28,-8,-63,54,-78,-9,-50,-77,5,3,-33,0,77,-9,57,99,-34,-34,-90,-83,42,-31,61,2,-89,-66,1,-46,-31,63,-14,46,98,-24,48,-15,92,73,-37,75,-6,39,67,-78,26,1,-25,98,9,99,68
16,-80,38,16,-26,-98,58,-55,-30,66,65,-21,-22,-9,38,31,46,59,-11,82,-75,-60,9,-24,-39,-71,-10,-74,-9,51,-59,-65,-75,-74,97,64,-91,22,76,58,-30,26,-2,96,48,-75,76,99,-79,90,-16,-62,-10,-79,-48,24,-80,-33,-71,-53,-72,61,-66,-67,0,-31,48,-94,-29,-11,-53,-78,17,28,77,28,91,-30,-78,95,63,-69,57,39,-37,7,-11,-58,-33,88,75,-60,-65,-73,54,28,9,-67,-64,-15
56,-31,-52,89,33,-70,-25,-1,-37,-53,0,-21,-86,12,-34,-51,38,59,-56,43,-26,-37,63,8,66,-39,43,-89,-43,-11,76,41,-24,79,-66,65,65,70,-16,-66,28,-92,-80,-97,-13,98,15,-23,-47,-43,16,-95,-39,-78,-26,-57,-49,19,74,-93,-66,19,28,66,-1,-61,50,-72,-75,21,99,-92,46,60,73,-72,-90,-19,-27,22,59,-71,85,26,12,-65,31,58,-96,8,-14,-29,65,57,-62,-19,-63,-71,3,85
-26,-50,56,81,-18,-16,81,33,44,4,-93,-92,-93,-53,49,-42,-29,71,79,12,47,58,56,-21,-65,-28,-13,41,78,-32,-74,33,-42,19,-75,-74,82,-23,-59,70,51,81,-49,-12,67,-90,1,7,-2,-10,42,-23,7,-93,43,0,82,32,-2,87,63,-7,47,19,-86,50,-17,14,35,-3,20,4,57,82,22,-19,54,-5,-36,-41,-58,-96,91,58,80,76,53,77,48,45,-27,-27,18,-88,1,95,90,64,65,-63
-26,-44,62,-94,36,44,51,0,0,-14,-80,-78,49,0,14,10,-90,16,-30,82,-60,-38,4,-35,-80,-99,-71,-87,75,-83,-27,60,-91,-24,-63,-76,-82,79,-53,59,-95,-25,-71,-2,89,36,45,65,-75,69,-61,-9,37,-60,56,-69,22,60,-18,66,23,-91,-49,14,-6,8,67,-81,98,-61,89,12,73,62,-48,21,20,38,33,-29,-15,85,-4,-91,81,-89,53,77,-65,17,-19,-87,80,-16,36,27,-29,-69,60,70
-16,-69,-9,-45,-92,-94,-84,63,76,-61,-31,45,82,65,-48,35,-61,-21,90,93,14,-17,-63,-81,-68,13,88,-28,42,-14,85,41,-69,-15,9,-50,78,-40,-73,-70,-13,-9,22,43,68,-31,16,-7,59,20,44,-74,-43,51,23,82,-75,53,-42,-9,-50,9,-66,21,-87,39,0,-53,-29,-8,14,-60,-81,-87,-21,-73,-81,17,91,44,-47,-62,82,69,87,-23,-54,16,26,0,-37,7,38,-93,-42,25,-87,14,84,-99
96,78,12,-20,-41,-65,46,-53,16,-3,82,-65,-95,84,-99,-87,23,-31,-85,53,-42,-2,98,29,0,94,85,73,-93,-10,56,-23,-17,74,-14,-61,-90,-65,-9,-46,-91,-72,-92,-17,43,75,29,-50,-5,-33,-46,-53,47,-13,48,-77,-77,-84,21,29,-13,-50,37,70,29,48,79,20,26,-74,32,-8,-53,-49,-98,98,51,-45,-3,-23,62,46,-98,-12,80,-38,36,80,51,10,-17,6,-14,76,18,20,-45,19,33,-53
74,-4,58,-70,-81,86,24,-14,85,16,-55,68,56,-93,40,-76,-39,80,67,0,88,56,66,47,26,82,96,-81,-25,-52,92,-76,-74,-87,-72,83,-45,85,81,-82,-11,-38,-94,14,93,58,27,-27,58,-82,21,-92,42,-26,44,-31,-12,-19,-26,16,-93,-85,5,-96,-42,-16,43,68,17,-32,10,-65,95,-72,-64,28,-7,-69,40,-39,95,97,41,-17,61,-16,73,58,-28,13,-43,46,2,-20,16,-78,22,-26,70,43
8,50,6,-88,20,83,86,48,93,-38,-54,43,-16,-60,55,-99,97,49,38,80,3,29,25,-90,71,2,20,98,-94,84,87,82,99,88,-66,-63,38,35,-15,-3,71,-98,-38,-48,14,66,-95,-93,67,-26,-85,95,-53,91,85,-98,80,-29,54,65,-61,-17,-6,49,-84,55,17,55,-37,-76,-11,7,-44,-79,-40,-73,-73,-6,0,-80,-71,-49,-37,86,-86,-63,-90,4,12,-51,-87,-94,15,2,-56,-10,-58,-32,76,-52
-87,-14,77,-33,13,1,43,68,-16,13,-97,-96,52,-4,-53,37,-70,-8,-53,4,11,-19,-86,30,-21,-8,-51,-85,-31,50,-73,-49,-38,97,-39,-48,-12,-33,91,-96,50,-45,-92,28,-51,40,70,-8,-31,12,-75,76,81,99,-96,11,76,-76,0,-61,77,-56,-27,-87,93,-16,38,-66,71,-46,-50,-91,87,28,-41,19,22,77,-43,-53,46,-91,35,10,-10,-42,-12,-97,-88,55,54,71,46,37,54,-76,33,84,36,82
-64,64,85,13,24,55,81,85,-63,89,-77,-37,93,46,-6,82,-6,8,-86,-79,-43,73,-46,78,12,62,32,31,-8,-87,94,91,-7,-53,-49,-64,-30,-18,30,46,-7,17,-83,0,73,-15,-27,82,93,91,73,38,-47,58,-15,4,39,7,-88,-34,-47,67,93,-63,-76,-76,14,-27,76,-41,-39,35,-3,25,47,36,4,72,-55,96,-77,60,-26,-67,94,42,94,41,52,-24,-51,46,24,29,68,-43,-49,-97,-26,-32
-19,43,7,91,-21,-99,64,69,-11,56,78,-93,13,-77,0,-78,75,-8,-50,90,-23,-7,69,-18,-87,-79,56,49,29,0,20,-95,59,42,11,43,62,32,44,50,-32,93,31,84,45,24,-20,-18,36,-11,21,-54,43,-55,-20,-34,-68,-75,-96,-88,42,-37,-44,85,-27,64,30,-34,14,-40,17,-76,9,-70,17,2,64,46,1,-53,-36,-75,38,-26,99,53,-17,63,73,-94,33,-25,78,75,-3,-69,47,36,-13,-60
-73,-33,8,2,-31,-87,-41,1,71,-61,-32,76,-7,0,74,24,-25,-95,86,-4,0,68,87,88,-95,-95,-88,-33,-95,-65,35,-11,81,54,-92,-60,10,-32,26,5,76,65,-7,-66,66,-62,-32,-53,61,93,-68,-99,-6,-90,73,18,-41,-91,-36,-54,63,49,54,-94,68,-12,-33,-62,-87,92,45,-1,37,-87,-89,87,99,78,-95,96,59,-67,82,11,-75,22,36,-34,16,-29,-46,30,-23,-98,-69,50,-32,-29,-75,-47
-86,-71,-95,-74,-31,58,-18,-30,92,-58,40,89,-69,-16,79,-95,94,94,-69,6,72,39,1,42,27,54,-2,69,-39,33,51,-44,50,-54,14,-29,-1,58,-53,-65,-54,-76,58,41,-8,35,12,51,-14,-53,79,-20,-5,40,-82,-61,85,-96,-27,-44,-40,-53,-79,39,-61,-95,95,56,57,67,18,67,31,61,75,-84,46,-74,-24,-34,71,77,79,60,-90,28,93,67,15,-30,13,-62,-65,-87,-90,-49,-65,36,-3,23
-42,59,22,-79,76,-27,-2,-90,-32,-15,-48,-68,59,-56,72,-8,47,9,13,-19,22,26,5,19,47,27,-89,-93,-44,96,27,20,18,-76,48,-39,-15,-89,-93,20,-24,40,-45,-68,88,35,-50,-82,28,88,74,74,76,89,55,40,-79,5,-97,-33,-20,29,66,73,17,26,-24,-16,67,40,-76,-46,-3,-49,30,75,-52,-81,-56,-46,-1,-96,14,21,67,-13,3,-12,-29,50,-1,4,82,-81,-55,0,-65,79,-3,-91
